id,name,subject,subject_abbreviation,total_students,avg_gpa
299,Cell Biology,Zoology,ZOOLOGY,2017,3.105591613
300,Cellular Biology,Biology Core Curriculum,BIOCORE,713,3.214486639
301,Cellular&Molecular Neurosci,Neuroscience Training Program,NTP,450,3.243792325
302,Cellular&Molecular Neurosci,Pharmacology,PHMCOL-M,450,3.243792325
303,Cellular&Molecular Neurosci,Physiology,PHYSIOL,450,3.243792325
304,Cen Asia: Silk Route-Afghan,History,HISTORY,691,3.433681073
305,Cen Asia: Silk Route-Afghan,Languages and Cultures of Asia,LCA,691,3.433681073
306,Cervantes,Spanish (Spanish and Portuguese),SPANISH,211,3.580952381
307,Challenge of Democratizatn,Political Science,POLI SCI,469,3.348387097
308,Chaucer's Canterbury Tales,English,ENGL,281,3.22080292
309,Chaucer's Canterbury Tales,ENGLISH,ENGLISH,281,3.22080292
310,Chaucer's Canterbury Tales,Medieval Studies,MEDIEVAL,281,3.22080292
311,Chekhov in Translation,Literature in Translation,LITTRANS,100,3.536082474
312,Chem & Technol-Dairy Products,Food Science,FOOD SCI,220,3.483091787
313,Chem Across the Periodic Table,Chemistry,CHEM,958,2.951206716
314,Chem Kinetcs & Reactor Dsgn,Chemical and Biological Engineering,CBE,970,3.0421875
315,Chem Process Thermodynamics,Chemical and Biological Engineering,CBE,1160,2.908894646
316,Chemical Engineering Matl,Chemical and Biological Engineering,CBE,702,3.093437946
317,Chemical Instrumentation,Chemistry,CHEM,339,3.251488095
318,Chemical Principles I,Chemistry,CHEM,349,3.607449857
319,Chemical Principles II,Chemistry,CHEM,268,3.565298507
320,Chemistry in Our World,Chemistry,CHEM,683,2.944363104
321,Child Abuse and Neglect,Social Work,SOC WORK,647,3.735524257
322,Child Language Disorders,Communication Sciences and Disorders,CS&D,1231,3.644136808
323,Child Psychology,Psychology,PSYCH,3663,3.255836309
324,Child Welfare,Social Work,SOC WORK,522,3.614643545
325,China in World Politics,Political Science,POLI SCI,829,3.433333333
326,Chinese Art: Antiquity-10th C,Art History,ART HIST,89,3.198630137
327,Chinese Art:10th C. to Present,Art History,ART HIST,256,3.240909091
328,Chinese Lit in Translation,Literature in Translation,LITTRANS,360,3.623955432
329,Christian Lit: The Gospels,Religious Studies,RELIG ST,207,3.295
330,Christian Lit:Matthew-Revelatn,Religious Studies,RELIG ST,555,3.303171642
331,Circuit Analysis,Electrical and Computer Engineering,E C E,2110,2.966951973
332,Circuits Laboratory I,Electrical and Computer Engineering,E C E,1570,3.698468411
333,Circuits Laboratory II,Electrical and Computer Engineering,E C E,932,3.574514039
334,Cities of Asia,Art History,ART HIST,383,3.070809249
335,Cities of Asia,Languages and Cultures of Asia,LCA,383,3.070809249
336,Civil Engineering Graphics,Mechanical Engineering,M E,1454,3.285024155
337,Civil Procedure II,Law,LAW,909,3.159972299
338,"Civil War Era, 1848-1877",History,HISTORY,299,3.130584192
339,Civilizat of Ancient Greece,Classics,CLASSICS,903,3.456424581
340,Civilizat of Ancient Rome,Classics,CLASSICS,755,3.437162162
341,Civilization-Ancient Egypt,African Languages and Literature,AFRICAN,105,3.138297872
342,Civilization-Ancient Egypt,Classics,CLASSICS,105,3.138297872
343,Civilization-Ancient Egypt,Religious Studies,RELIG ST,105,3.138297872
344,Civs of India-Modern Period,Geography,GEOG,1269,3.349673203
345,Civs of India-Modern Period,History,HISTORY,1269,3.349673203
346,Civs of India-Modern Period,Languages and Cultures of Asia,LCA,1269,3.349673203
347,Civs of India-Modern Period,Political Science,POLI SCI,1269,3.349673203
348,Civs of India-Modern Period,Sociology,SOC,1269,3.349673203
349,Class Japanese Prose-Transl,Literature in Translation,LITTRANS,49,3.030612245
350,Classical Mythology,Classics,CLASSICS,3279,3.21452912
351,Classical Philosophers,Philosophy,PHILOS,342,3.341614907
352,Classical Rabbinic Lit in Tran,HEBREW,HEBR ST,79,3.337662338
353,Classical Rabbinic Lit in Tran,Jewish Studies,JEWISH,79,3.337662338
354,Classical Rabbinic Lit in Tran,Literature in Translation,LITTRANS,79,3.337662338
355,Classical Rabbinic Lit in Tran,Religious Studies,RELIG ST,79,3.337662338
356,Classical Soc Theory,Community and Environmental Sociology,C&E SOC,2226,3.148630137
357,Classical Soc Theory,Sociology,SOC,2226,3.148630137
358,Climate and Climate Change,Atmospheric and Oceanic Sciences,ATM OCN,39,2.794871795
359,Climate and Climate Change,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,39,2.794871795
360,Climate and Climate Change,Geoscience,GEOSCI,39,2.794871795
361,Climate Change Econ & Policy,Agricultural and Applied Economics,A A E,208,3.215686275
362,Climatic Environments-Past,Atmospheric and Oceanic Sciences,ATM OCN,331,3.174603175
363,Climatic Environments-Past,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,331,3.174603175
364,Climatic Environments-Past,Geography,GEOG,331,3.174603175
365,Clinical Nutrition,Nutritional Sciences,NUTR SCI,703,3.166666667
366,Cnsmr SelfCare&OverCountrDrugs,Pharmacy Practice,PHM PRAC,867,2.897093023
367,Coastal Engineering,Civil and Environmental Engineering,CIV ENGR,200,3.461928934
368,Cognitive Development,Psychology,PSYCH,351,3.228571429
369,Cognitive Psychology,Psychology,PSYCH,1546,2.942596217
370,"Col,Natn&Minrty:PuertoRican",Chicana/o and Latina/o Studies,CHICLA,217,3.081730769
371,"Col,Natn&Minrty:PuertoRican",History,HISTORY,217,3.081730769
372,Collection Management,Library and Information Studies,L I S,458,3.774336283
373,Collective Behavior,Sociology,SOC,141,3.146428571
374,College Geometry I,Mathematics,MATH,641,3.269654088
375,Colloq in Afro-Am History,Afro-American Studies,AFROAMER,28,3.020833333
376,Colloquial Arabic,African Languages and Literature,AFRICAN,143,3.694852941
377,Colloquium in Art,Art Department,ART,2750,3.814054258
378,Colloquium in Env Tox,ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,517,3.394805195
379,Colloquium in Env Tox,Entomology,ENTOM,517,3.394805195
380,Colloquium in Env Tox,Forest and Wildlife Ecology,F&W ECOL,517,3.394805195
381,Colloquium in Env Tox,Molecular and Environmental Toxicology Center,M&ENVTOX,517,3.394805195
382,Colloquium in Env Tox,Plant Pathology,PL PATH,517,3.394805195
383,Colloquium in Env Tox,Soil Science,SOIL SCI,517,3.394805195
384,Colloquium in Env Tox,WILDLIFE ECOLOGY,WL ECOL,517,3.394805195
385,Color Theory and Technology,Design Studies,DS,350,3.36849711
386,Comm B Topics in English Lit,English,ENGL,821,3.29691358
387,Commercial Insurance,Risk Management and Insurance,R M I,108,3.347222222
388,Commodity Markets,Agricultural and Applied Economics,A A E,619,2.950900164
389,Communication & Human Behav,Communication Arts,COM ARTS,4749,3.086363636
390,Communication Systems I,Electrical and Computer Engineering,E C E,118,3.125
